# BANNER FILE NOT PROVIDED (-b option)
# BULK_EXTRACTOR-Version: 2.0.0
# Feature-Recorder: tcp
# Filename: Forensics.pcapng
# Histogram-File-Version: 1.1
n=26413	86.120.3.208 443 -> 192.168.112.128 57758 (UDP)
n=17419	82.76.79.78 443 -> 192.168.112.128 60481 (UDP)
n=2829	192.168.112.128 57758 -> 86.120.3.208 443 (UDP)
n=2567	142.250.180.206 443 -> 192.168.112.128 39626 (UDP)
n=2383	142.251.39.36 443 -> 192.168.112.128 34977 (UDP)
n=1935	192.168.112.128 60481 -> 82.76.79.78 443 (UDP)
n=1035	86.120.7.144 443 -> 192.168.112.128 54279 (UDP)
n=991	86.120.7.141 443 -> 192.168.112.128 59519 (UDP)
n=893	192.168.112.128 39626 -> 142.250.180.206 443 (UDP)
n=840	192.168.112.128 34977 -> 142.251.39.36 443 (UDP)
n=577	142.250.180.238 443 -> 192.168.112.128 41446 (UDP)
n=494	142.251.39.86 443 -> 192.168.112.128 46174 (UDP)
n=426	172.217.19.98 443 -> 192.168.112.128 40536 (UDP)
n=415	192.168.112.128 57501 -> 142.251.39.14 443 (UDP)
n=249	172.217.20.1 443 -> 192.168.112.128 51139 (UDP)
n=246	142.251.39.66 443 -> 192.168.112.128 48224 (UDP)
n=239	142.251.39.14 443 -> 192.168.112.128 57501 (UDP)
n=235	142.250.180.228 443 -> 192.168.112.128 39393 (UDP)
n=216	192.168.112.128 40536 -> 172.217.19.98 443 (UDP)
n=186	172.67.150.137 443 -> 192.168.112.128 57417 (UDP)
n=178	192.168.112.128 54279 -> 86.120.7.144 443 (UDP)
n=177	192.168.112.128 59519 -> 86.120.7.141 443 (UDP)
n=164	192.168.112.128 49242 -> 172.67.75.106 443 (TCP)
n=158	192.168.112.128 43436 -> 67.22.56.23 443 (TCP)
n=158	67.22.56.23 443 -> 192.168.112.128 43436 (TCP)
n=149	172.217.19.118 443 -> 192.168.112.128 37543 (UDP)
n=149	192.168.112.128 53432 -> 67.22.56.18 443 (TCP)
n=133	192.168.112.128 46174 -> 142.251.39.86 443 (UDP)
n=132	192.168.112.128 41446 -> 142.250.180.238 443 (UDP)
n=129	67.22.56.18 443 -> 192.168.112.128 53432 (TCP)
n=120	172.67.75.106 443 -> 192.168.112.128 49242 (TCP)
n=117	142.251.39.36 443 -> 192.168.112.128 52119 (UDP)
n=114	142.251.39.66 443 -> 192.168.112.128 53510 (UDP)
n=111	192.168.112.128 46132 -> 209.197.3.25 443 (TCP)
n=105	192.168.112.128 39393 -> 142.250.180.228 443 (UDP)
n=103	142.250.180.227 443 -> 192.168.112.128 33553 (UDP)
n=100	192.168.112.128 53510 -> 142.251.39.66 443 (UDP)
n=93	142.251.39.3 443 -> 192.168.112.128 56407 (UDP)
n=93	192.168.112.128 48224 -> 142.251.39.66 443 (UDP)
n=92	209.197.3.25 443 -> 192.168.112.128 46132 (TCP)
n=89	192.168.112.128 54452 -> 192.124.249.13 443 (TCP)
n=87	142.250.180.227 443 -> 192.168.112.128 41843 (UDP)
n=87	192.168.112.128 51139 -> 172.217.20.1 443 (UDP)
n=84	142.250.180.227 443 -> 192.168.112.128 59500 (UDP)
n=78	192.168.112.128 57417 -> 172.67.150.137 443 (UDP)
n=76	142.251.39.54 443 -> 192.168.112.128 54635 (UDP)
n=74	192.168.112.128 52119 -> 142.251.39.36 443 (UDP)
n=72	192.168.112.128 37543 -> 172.217.19.118 443 (UDP)
n=70	192.124.249.13 443 -> 192.168.112.128 54452 (TCP)
n=65	66.254.114.41 443 -> 192.168.112.128 39110 (TCP)
n=63	142.250.180.227 443 -> 192.168.112.128 57434 (UDP)
n=62	192.168.112.128 40958 -> 178.250.2.135 443 (TCP)
n=61	192.168.112.128 33553 -> 142.250.180.227 443 (UDP)
n=60	192.168.112.128 39110 -> 66.254.114.41 443 (TCP)
n=59	178.250.2.135 443 -> 192.168.112.128 40958 (TCP)
n=55	192.168.112.128 47024 -> 188.209.215.213 443 (TCP)
n=55	192.168.112.128 49808 -> 172.67.202.143 443 (TCP)
n=54	192.168.112.128 56407 -> 142.251.39.3 443 (UDP)
n=53	192.168.112.128 59500 -> 142.250.180.227 443 (UDP)
n=52	192.168.112.128 41843 -> 142.250.180.227 443 (UDP)
n=52	192.168.112.128 46986 -> 188.209.215.213 443 (TCP)
n=51	142.251.39.42 443 -> 192.168.112.128 56536 (UDP)
n=51	172.217.19.98 443 -> 192.168.112.128 50839 (UDP)
n=51	172.217.20.1 443 -> 192.168.112.128 57181 (UDP)
n=50	205.185.208.142 443 -> 192.168.112.128 38498 (TCP)
n=49	172.217.19.109 443 -> 192.168.112.128 41975 (UDP)
n=49	192.168.112.128 38498 -> 205.185.208.142 443 (TCP)
n=49	192.168.112.128 52390 -> 178.250.2.135 443 (TCP)
n=48	142.251.39.36 443 -> 192.168.112.128 50654 (UDP)
